StartAddress,EndAddress,Type,Unit,Readonly,General,PVName,Description,Bit,StringRep,Function,ASG,ZNAM,ONAM,ZSV,OSV,UNSV,ZRSV,ONSV,TWSV,THSV,HighHigh,High,Low,LowLow,DRVH,DRVL,Archive
1550,1649,Uint32,l/m,True,Event logg data array,,,,,"Here data for the event can be entered, if DataType indicates NoData then this value is random",,,,,,,,,,,,,,,,,
1700,1712,Struct,l/m,True,Main event struct,,,,,"This can be used to present the actual state of the modulator, you see State, Warnings, FirstInterlock and Error messages
STRUCT
	Incr		: Uint16;	(addr: 1700)
	Type		: Uint16;	(addr: 1701)
	TimeStamp	: Uint64;	(addr: 1702)
	TrigId		: Uint32;	(addr: 1706)
	Index		: Uint16;	(addr: 1708)
	TextNo		: Uint16;	(addr: 1709)
	DataType	: Uint16;	(addr: 1710)
	Data		: Uint32;	(addr: 1711)
END_STRUCT",,,,,,,,,,,,,,,,,
1715,1727,Struct,l/m,True,Main event struct,,,,,"Displays the first interlock event since previous reset, the Type element will indicate active interlock whith the value 2 and inactive/resetted with the value 0
STRUCT
	Incr		: Uint16;	(addr: 1715)
	Type		: Uint16;	(addr: 1716)
	TimeStamp	: Uint64;	(addr: 1717)
	TrigId		: Uint32;	(addr: 1721)
	Index		: Uint16;	(addr: 1723)
	TextNo		: Uint16;	(addr: 1724)
	DataType	: Uint16;	(addr: 1725)
	Data		: Uint32;	(addr: 1726)
END_STRUCT",,,,,,,,,,,,,,,,,
2000,2255,Uint16,l/m,True,State read array,,,,,"In this array you can see the actual state of all items in the modulator, see Strings\State in GUI Resource.xml ",,,,,,,,,,,,,,,,,
2300,2555,Uint16,l/m,True,Status bit's array,,,,,"In this array you can see the unlatched status bit's of all items in the modulator,
	Bit0: Warning condition exists
	Bit1: Interlock condition exists
",,,,,,,,,,,,,,,,,
3000,3000,Int16,l/m,True,Customer waveform sequence,,,,,"Sequence number reply when a new waveform is received
This variable will reply:
99 if fetching did not produce any result
100 when Cvd T-0 is received
101 when Cvd T-1 is received
102 when Cvd T-2 is received
103 when Cvd T-3 is received
104 when Cvd T-4 is received
105 when Cvd saved reference is received
106 when Cvd upper interlock bondary is received
107 when Cvd lower interlock bondary is received
108 when Cvd upper warning bondary is received
109 when Cvd lower warning bondary is received
110 when Ct T-0 is received
111 when Ct T-1 is received
112 when Ct T-2 is received
113 when Ct T-3 is received
114 when Ct T-4 is received
115 when Ct saved reference is received
116 when Ct upper interlock bondary is received
117 when Ct lower interlock bondary is received
118 when Ct upper warning bondary is received
119 when Ct lower warning bondary is received
120 when RfFwd T-0 is received
121 when RfFwd T-1 is received
122 when RfFwd T-2 is received
123 when RfFwd T-3 is received
124 when RfFwd T-4 is received
125 when RfFwd saved reference is received
126 when RfFwd upper interlock bondary is received
127 when RfFwd lower interlock bondary is received
128 when RfFwd upper warning bondary is received
129 when RfFwd lower warning bondary is received
130 when RfRfl T-0 is received
131 when RfRfl T-1 is received
132 when RfRfl T-2 is received
133 when RfRfl T-3 is received
134 when RfRfl T-4 is received
135 when RfRfl saved reference is received
136 when RfRfl upper interlock bondary is received
137 when RfRfl lower interlock bondary is received
138 when RfRfl upper warning bondary is received
139 when RfRfl lower warning bondary is received",,,,,,,,,,,,,,,,,
3001,3512,Int16,l/m,True,Customer waveform,,,,,"Byte 0-7 TimeStamp (either in Windows FileTime or in EpicsTime)
Byte 8-15 PulseId
Byte 16-17 NoOfSamples
Byte 18-1023 Waveform",,,,,,,,,,,,,,,,,
0,0,Uint16,l/m,False,Communication watchdog,,,,,"Increment this value at least every second (depending on timeout setting in local GUI), used by the modulator to monitor this communication",,,,,,,,,,,,,,,,,
1,1,Int16,l/m,False,Modulator target state,,,,,"This is the target state of the MSM (Main State Machine), example:
iStateTarget and iStateRead are both ""Off"" (1)
You request the modulator to ""Hv"" state by writing 9 to StateTarget
See Strings\State in GUI Resource.xml",,,,,,,,,,,,,,,,,
2,2,Uint16,l/m,False,"Command bit's
Bit0: Reset
Bit1: ECAT control (use .g_rVoltSetEcat)",,,,,"A word containing 16 command bit's
      Bit0: Reset (remember to set it back to zero afterwards)
      Bit1: ECAT control (use .g_rVoltSetEcat)",,,,,,,,,,,,,,,,,
100,101,Single,V,False,Voltage setvalue of all Ccps,,,,,"Scaled setvalue, range 0-1200VDC",,,,,,,,,,,,,,,,,
200,201,Single,A,False,Filament current setvalue,,,,,"Scaled setvalue, range 0-30ADC",,,,,,,,,,,,,,,,,
300,301,Single,µs,False,Pulse width setvalue of all SU's,,,,,"Scaled setvalue, range 1-5µs",,,,,,,,,,,,,,,,,
400,401,Single,Hz,False,Local pulse repetition frequency,,,,,Scaled setvalue.,,,,,,,,,,,,,,,,,
3000,3000,Int16,Hz,False,Customer waveform sequence,,,,,"Sequence number used to fetch waveforms
Set this variable to a specific value to start fetching a specific waveform:
0 Cvd T-0
1 Cvd T-1 
2 Cvd T-2
3 Cvd T-3
4 Cvd T-4
5 Cvd saved reference
6 Cvd upper interlock bondary
7 Cvd lower interlock bondary 
8 Cvd upper warning bondary
9 Cvd lower warning bondary
10 Ct T-0
11 Ct T-1 
12 Ct T-2
13 Ct T-3
14 Ct T-4
15 Ct saved reference
16 Ct upper interlock bondary
17 Ct lower interlock bondary 
18 Ct upper warning bondary
19 Ct lower warning bondary
20 RfFwd T-0
21 RfFwd T-1 
22 RfFwd T-2
23 RfFwd T-3
24 RfFwd T-4
25 RfFwd saved reference
26 RfFwd upper interlock bondary
27 RfFwd lower interlock bondary 
28 RfFwd upper warning bondary
29 RfFwd lower warning bondary
30 RfRfl T-0
31 RfRfl T-1 
32 RfRfl T-2
33 RfRfl T-3
34 RfRfl T-4
35 RfRfl saved reference
36 RfRfl upper interlock bondary
37 RfRfl lower interlock bondary 
38 RfRfl upper warning bondary
39 RfRfl lower warning bondary",,,,,,,,,,,,,,,,,
